SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
87,4/20/2020,Unknown,China,4/20/2020 17:00,0,0,0
88,4/20/2020,,Kiribati,4/20/2020 17:00,0,0,0
89,4/20/2020,Hubei,Mainland China,4/20/2020 17:00,549,24,31
90,4/20/2020,Guangdong,Mainland China,4/20/2020 17:00,53,0,2
91,4/20/2020,Zhejiang,Mainland China,4/20/2020 17:00,43,0,1
92,4/20/2020,Beijing,Mainland China,4/20/2020 17:00,36,0,1
93,4/20/2020,Chongqing,Mainland China,4/20/2020 17:00,27,0,0
94,4/20/2020,Hunan,Mainland China,4/20/2020 17:00,24,0,0
95,4/20/2020,Guangxi,Mainland China,4/20/2020 17:00,23,0,0
96,4/20/2020,Shanghai,Mainland China,4/20/2020 17:00,20,0,1
97,4/20/2020,Jiangxi,Mainland China,4/20/2020 17:00,18,0,0
98,4/20/2020,Sichuan,Mainland China,4/20/2020 17:00,15,0,0
99,4/22/2020,Shandong,Mainland China,4/22/2020 17:00,15,0,0
100,4/22/2020,Anhui,Mainland China,4/22/2020 17:00,15,0,0
101,4/22/2020,Fujian,Mainland China,4/22/2020 17:00,10,0,0
102,4/22/2020,Henan,Mainland China,4/22/2020 17:00,9,0,0
103,4/22/2020,Jiangsu,Mainland China,4/22/2020 17:00,9,0,0
104,4/22/2020,Hainan,Mainland China,4/22/2020 17:00,8,0,0
105,4/22/2020,Tianjin,Mainland China,4/22/2020 17:00,8,0,0
106,4/22/2020,Yunnan,Mainland China,4/22/2020 17:00,5,0,0
107,4/28/2020,Shaanxi,Mainland China,4/28/2020 17:00,5,0,0
108,4/28/2020,Heilongjiang,Mainland China,4/28/2020 17:00,4,1,0
109,4/28/2020,Liaoning,Mainland China,4/28/2020 17:00,4,0,0
110,4/28/2020,Guizhou,Mainland China,4/28/2020 17:00,3,0,0
111,4/28/2020,Jilin,Mainland China,4/28/2020 17:00,3,0,0
112,5/5/2020,Taiwan,Taiwan,5/5/2020 17:00,3,0,0
113,5/5/2020,Ningxia,Mainland China,5/5/2020 17:00,2,0,0
114,5/5/2020,Hong Kong,Hong Kong,5/5/2020 17:00,2,0,0
115,5/5/2020,Macau,Macau,5/5/2020 17:00,2,0,0
116,5/5/2020,Hebei,Mainland China,5/5/2020 17:00,2,1,0
117,5/5/2020,Gansu,Mainland China,5/5/2020 17:00,2,0,0
118,5/5/2020,Xinjiang,Mainland China,5/5/2020 17:00,2,0,0
119,5/8/2020,Shanxi,Mainland China,5/8/2020 17:00,1,0,0
120,5/8/2020,Inner Mongolia,Mainland China,5/8/2020 17:00,1,0,0
121,5/8/2020,Qinghai,Mainland China,5/8/2020 17:00,0,0,0
122,5/8/2020,Washington,US,5/8/2020 17:00,1,0,0
123,5/8/2020,Chicago,US,5/8/2020 17:00,1,0,0
124,5/8/2020,,Japan,5/8/2020 17:00,2,0,0
125,5/10/2020,,Thailand,5/10/2020 17:00,5,0,3
126,5/10/2020,,South Korea,5/10/2020 17:00,2,0,0
127,5/10/2020,,Singapore,5/10/2020 17:00,3,0,0
128,5/10/2020,,Vietnam,5/10/2020 17:00,2,0,0
129,5/10/2020,,France,5/10/2020 17:00,2,0,0
130,5/10/2020,Unknown,China,5/10/2020 17:00,0,0,0
131,5/12/2020,,Kiribati,5/12/2020 17:00,0,0,0
132,5/12/2020,Hubei,Mainland China,5/12/2020 17:00,761,40,32
133,5/12/2020,Guangdong,Mainland China,5/12/2020 17:00,78,0,2
134,5/12/2020,Zhejiang,Mainland China,5/12/2020 17:00,62,0,1
135,5/12/2020,Chongqing,Mainland China,5/12/2020 17:00,57,0,0
136,5/12/2020,Hunan,Mainland China,5/12/2020 17:00,43,0,0
137,5/12/2020,Beijing,Mainland China,5/12/2020 17:00,41,0,2
138,5/18/2020,Anhui,Mainland China,5/18/2020 17:00,39,0,0
139,5/18/2020,Shanghai,Mainland China,5/18/2020 17:00,33,0,1
140,5/18/2020,Henan,Mainland China,5/18/2020 17:00,32,0,0
141,5/18/2020,Sichuan,Mainland China,5/18/2020 17:00,28,0,0
142,5/18/2020,Shandong,Mainland China,5/18/2020 17:00,27,0,0
143,5/18/2020,Guangxi,Mainland China,5/18/2020 17:00,23,0,0
144,5/18/2020,Hainan,Mainland China,5/18/2020 17:00,19,0,0
145,5/18/2020,Jiangxi,Mainland China,5/18/2020 17:00,18,0,0
146,5/18/2020,Fujian,Mainland China,5/18/2020 17:00,18,0,0
147,5/18/2020,Jiangsu,Mainland China,5/18/2020 17:00,18,0,1
148,5/22/2020,Liaoning,Mainland China,5/22/2020 17:00,17,0,0
149,5/22/2020,Shaanxi,Mainland China,5/22/2020 17:00,15,0,0
150,5/22/2020,Yunnan,Mainland China,5/22/2020 17:00,11,0,0
151,5/22/2020,Tianjin,Mainland China,5/22/2020 17:00,10,0,0
152,5/22/2020,Heilongjiang,Mainland China,5/22/2020 17:00,9,1,0
153,5/22/2020,Hebei,Mainland China,5/22/2020 17:00,8,1,0
154,5/22/2020,Inner Mongolia,Mainland China,5/22/2020 17:00,7,0,0
155,5/22/2020,Shanxi,Mainland China,5/22/2020 17:00,6,0,0
156,5/22/2020,Hong Kong,Hong Kong,5/22/2020 17:00,5,0,0
157,5/22/2020,Guizhou,Mainland China,5/22/2020 17:00,4,0,0
158,5/22/2020,Jilin,Mainland China,5/22/2020 17:00,4,0,0
159,5/22/2020,Gansu,Mainland China,5/22/2020 17:00,4,0,0
160,5/22/2020,Ningxia,Mainland China,5/22/2020 17:00,3,0,0
161,5/22/2020,Taiwan,Taiwan,5/22/2020 17:00,3,0,0
162,5/28/2020,Xinjiang,Mainland China,5/28/2020 17:00,3,0,0
163,5/28/2020,Macau,Macau,5/28/2020 17:00,2,0,0
164,5/28/2020,Qinghai,Mainland China,5/28/2020 17:00,1,0,0
165,5/28/2020,Washington,US,5/28/2020 17:00,1,0,0
166,5/28/2020,Illinois,US,5/28/2020 17:00,1,0,0
167,5/28/2020,,Japan,5/28/2020 17:00,2,0,0
168,5/28/2020,,Thailand,5/28/2020 17:00,6,0,3
169,5/28/2020,,South Korea,5/28/2020 17:00,2,0,0
170,5/28/2020,,Singapore,5/28/2020 17:00,3,0,0
171,5/28/2020,,Vietnam,5/28/2020 17:00,2,0,0
172,5/28/2020,,France,5/28/2020 17:00,3,0,0
173,6/5/2020,,Australia,6/5/2020 17:00,4,0,0
